URI,Title,RecordId,ParentType URI,From Date,To Date,Authority,Deity,Dynasty,Denomination,Issuer,Manufacture,Material,Mint,Object Type,Portrait,Region,State,Symbol_obv,Symbol_obv_letter,Symbol_rev,Symbol_rev_letter,Obverse Legend,Obverse Type,Reverse Legend,Reverse Type,Reverse Officina Mark,Reverse Exergue,Date Record Modified
http://numismatics.org/ocre/id/ric.2_1(2).tit.441,"RIC II, Part 1 (second edition) Titus 441",ric.2_1(2).tit.441,,80,81,Titus,,Flavian Dynasty,As,,Struck,Bronze,Rome,Coin,Germanicus,Latium,Roman Empire,,,,,GERMANICVS CAESAR TI AVG F DIVI AVG N,"Head of Germanicus, bare, right",IMP T CAES DIVI VESP F AVG RESTITVIT,Legend surrounding large S C,,,2026-01-06T02:36:30Z
http://numismatics.org/ocre/id/ric.2_1(2).tit.442,"RIC II, Part 1 (second edition) Titus 442",ric.2_1(2).tit.442,,80,81,Titus,,Flavian Dynasty,As,,Struck,Bronze,Rome,Coin,Germanicus,Latium,Roman Empire,,,,,GERMANICVS CAESAR TI AVG F DIVI AVG N,"Head of Germanicus, bare, left",IMP T CAES DIVI VESP F AVG RESTITVIT,Legend surrounding large S C,,,2026-01-06T02:36:31Z
http://numismatics.org/ocre/id/ric.2_1(2).tit.443,"RIC II, Part 1 (second edition) Titus 443",ric.2_1(2).tit.443,,80,81,Titus,,Flavian Dynasty,As,,Struck,Bronze,Rome,Coin,Germanicus,Latium,Roman Empire,,,,,GERMANICVS CAESAR TI AVG F DIVI AVG N,"Head of Germanicus, bare, left",IMP T CAES DIVI VESP F AVG RESTITVIT,Legend surrounding large S C,,,2026-01-06T02:36:32Z
http://numismatics.org/ocre/id/ric.2_1(2).tit.444,"RIC II, Part 1 (second edition) Titus 444",ric.2_1(2).tit.444,,80,81,Titus,,Flavian Dynasty,As,,Struck,Bronze,Rome,Coin,Galba,Latium,Roman Empire,,,,,SER GALBA IMP CAES AVG TR P,"Head of Galba, laureate, right",IMP T CAES DIVI VESP F AVG REST,Legend surrounding large S C,,,2026-01-06T02:36:38Z
http://numismatics.org/ocre/id/ric.2_1(2).tit.445,"RIC II, Part 1 (second edition) Titus 445",ric.2_1(2).tit.445,,80,81,Titus,Victory,Flavian Dynasty,Dupondius,,Struck,Bronze,Rome,Coin,Augustus,Latium,Roman Empire,,,,,DIVVS AVGVSTVS PATER,"Head of Divus Augustus, radiate, right",IMP T VESP AVG REST S C,"Victory, draped, advancing left, carrying in right hand shield inscribed S P Q R",,,2026-01-06T02:36:38Z
http://numismatics.org/ocre/id/ric.2_1(2).tit.446,"RIC II, Part 1 (second edition) Titus 446",ric.2_1(2).tit.446,,80,81,Titus,Victory,Flavian Dynasty,Dupondius,,Struck,Bronze,Rome,Coin,Augustus,Latium,Roman Empire,,,,,DIVVS AVGVSTVS PATER,"Head of Divus Augustus, radiate, left",IMP T VESP AVG REST S C,"Victory, draped, advancing left, carrying in right hand shield inscribed S P Q R",,,2026-01-06T02:36:39Z
http://numismatics.org/ocre/id/ric.2_1(2).tit.447,"RIC II, Part 1 (second edition) Titus 447",ric.2_1(2).tit.447,,80,81,Titus,Victory,Flavian Dynasty,Dupondius,,Struck,Bronze,Rome,Coin,Augustus,Latium,Roman Empire,,,,,DIVVS AVGVSTVS PATER,"Head of Divus Augustus, radiate, left; star above",IMP T VESP AVG RES S C,"Victory, draped, advancing left, carrying in right hand shield inscribed S P Q R",,,2026-01-06T02:36:40Z
http://numismatics.org/ocre/id/ric.2_1(2).tit.448,"RIC II, Part 1 (second edition) Titus 448",ric.2_1(2).tit.448,,80,81,Titus,Victory,Flavian Dynasty,Dupondius,,Struck,Bronze,Rome,Coin,Augustus,Latium,Roman Empire,,,,,DIVVS AVGVSTVS PATER,"Head of Divus Augustus, radiate, left; star above",IMP T VESP AVG REST S C,"Victory, draped, advancing left, carrying in right hand shield inscribed S P Q R",,,2026-01-06T02:36:40Z
http://numismatics.org/ocre/id/ric.2_1(2).tit.449,"RIC II, Part 1 (second edition) Titus 449",ric.2_1(2).tit.449,,80,81,Titus,,Flavian Dynasty,As,,Struck,Bronze,Rome,Coin,Augustus,Latium,Roman Empire,,,,,DIVVS AVGVSTVS PATER,"Head of Divus Augustus, radiate, right",IMP T VESP AVG REST S C PROVIDENT,Altar,,,2026-01-06T02:36:41Z
http://numismatics.org/ocre/id/ric.2_1(2).tit.450,"RIC II, Part 1 (second edition) Titus 450",ric.2_1(2).tit.450,,80,81,Titus,,Flavian Dynasty,As,,Struck,Bronze,Rome,Coin,Augustus,Latium,Roman Empire,,,,,DIVVS AVGVSTVS PATER,"Head of Divus Augustus, radiate, right",IMP T VESP AVG REST S C PROVIDENT,Altar,,,2026-01-06T02:36:42Z
